target_idx,target_seed,repeat,repeat_seed,algorithm,fidelity,gate_count
17,59,6,59006,EA,0.3178549512757263,6
17,59,6,59006,SA,0.2923122964820993,5
17,59,7,59007,EA,0.31182754144258074,6
17,59,7,59007,SA,0.25754264842379637,4
18,60,0,60000,EA,0.32841376210714646,5
18,60,0,60000,SA,0.20342584178740666,6
18,60,1,60001,EA,0.30551449971021005,7
18,60,1,60001,SA,0.2594029138457989,6
18,60,2,60002,EA,0.29981715737882453,4
18,60,2,60002,SA,0.2368504900763157,6
18,60,3,60003,EA,0.28304145166050204,3
18,60,3,60003,SA,0.2726964391821822,7
18,60,4,60004,EA,0.28797096621919105,3
18,60,4,60004,SA,0.2487152605226163,3
18,60,5,60005,EA,0.2816320751776946,5
18,60,5,60005,SA,0.22083778344883284,3
18,60,6,60006,EA,0.28013947115150767,4
18,60,6,60006,SA,0.2726264988505273,9
18,60,7,60007,EA,0.2770848882318316,3
18,60,7,60007,SA,0.2071825848226834,4
19,61,0,61000,EA,0.4693147776183071,5
19,61,0,61000,SA,0.3307125042979743,8
19,61,1,61001,EA,0.45225821513781767,5
19,61,1,61001,SA,0.3941273187448645,5
19,61,2,61002,EA,0.444175813333602,4
19,61,2,61002,SA,0.3494127490767998,4
19,61,3,61003,EA,0.4643720416184045,5
19,61,3,61003,SA,0.37500073846240356,4
19,61,4,61004,EA,0.44666184594121056,6
19,61,4,61004,SA,0.292579476690917,8
19,61,5,61005,EA,0.40667882212681883,4
19,61,5,61005,SA,0.3112746746016784,15
19,61,6,61006,EA,0.43793327123857384,8
19,61,6,61006,SA,0.441019874639257,13
19,61,7,61007,EA,0.5019560158724748,7
19,61,7,61007,SA,0.28304911930927695,6
